p95,ts_start,ts_end
628.9,1714550698265,1714550708439
607.1,1714550709949,1714550720089
647.2,1714550721596,1714550731711
629.9,1714550733220,1714550743332
616.7,1714550744839,1714550754952
559.3,1714550756461,1714550766575
611.1,1714550768082,1714550778193
569.6,1714550779700,1714550789815
631.3,1714550791323,1714550801439
619.6,1714550802947,1714550813060
604.7,1714550814567,1714550824681
629.3,1714550826189,1714550836302
618.2,1714550837809,1714550847924
620.3,1714550849432,1714550859554
619.2,1714550861062,1714550871182
614.4,1714550872691,1714550882800
