#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      382.4   447.6   173.5   227.0   243.0   343.7   407.8   449.1   478.7   512.6   551.8   614.6   773.7  2960.6  8578.4  29904.4    30000  1714550395849  1714550406021
read      402.4   816.5   160.7   230.6   246.5   348.5   413.9   456.4   488.9   528.0   579.3   666.0   965.1  4025.3 15172.4  29950.6    30005  1714550407530  1714550417668
read      423.3   678.3   173.5   231.0   247.0   357.0   427.9   472.8   506.8   545.3   592.7   672.5   941.5  9456.8 22151.7  29935.9    30010  1714550419176  1714550429298
read      440.1   861.7   173.5   232.0   247.8   359.0   433.1   477.6   509.9   546.8   593.0   674.1  1017.6 11361.8 24239.9  29988.0    30015  1714550430807  1714550440927
read      385.3   377.3   173.5   224.4   238.0   328.7   390.9   432.6   464.9   502.9   548.1   617.8   836.5  5548.9 13540.1  29979.3    30020  1714550442437  1714550452550
read      417.3   694.5   173.5   228.9   245.0   358.0   428.7   470.9   502.8   539.5   585.9   663.4   946.0  7558.6 16599.5  29987.9    30025  1714550454057  1714550464171
read      388.2  1123.7   173.5   224.5   238.7   335.1   396.4   435.2   465.3   500.9   545.9   621.0   828.9  4373.2 19048.5  30019.5    30030  1714550465679  1714550475794
read      399.8  1648.9   173.5   227.0   241.2   335.9   396.5   435.0   464.4   499.2   543.1   616.0   827.6  5212.2 20330.4  30088.9    30035  1714550477304  1714550487423
read      386.6   524.9   173.5   225.3   239.4   334.8   398.0   438.9   470.8   508.2   555.0   626.0   812.7  4540.2 15755.8  30121.9    30040  1714550488933  1714550499048
read      399.9   369.5   160.7   226.6   241.7   347.5   417.7   461.9   494.6   532.0   578.1   648.4   862.1  4853.3 13276.1  29908.1    30045  1714550500557  1714550510678
read      405.0   601.2   173.5   231.1   245.7   342.9   404.6   444.9   474.7   509.7   554.6   629.1   952.5  7594.8 16259.7  30174.7    30050  1714550512186  1714550522303
read      383.8   589.0   160.7   230.8   246.0   342.1   404.5   446.6   477.2   512.8   556.4   623.4   793.5  2605.2  8404.4  30073.9    30055  1714550523813  1714550533927
read      378.9   696.1   173.5   227.0   242.1   337.3   400.4   442.4   473.5   509.5   552.3   617.6   771.9  1931.5 10253.7  29994.6    30060  1714550535435  1714550545555
read      381.5   436.8   173.5   229.7   244.9   341.8   406.5   449.1   480.2   516.2   558.8   621.4   776.6  1785.5  9291.6  30010.0    30065  1714550547064  1714550557179
read      378.4   445.9   173.5   230.2   244.9   337.1   397.2   437.8   469.6   505.9   549.1   616.7   775.2  2598.3  8786.4  30088.5    30070  1714550558687  1714550568807
read      386.0   255.7   160.7   228.9   245.2   347.4   412.7   453.9   484.1   519.1   561.8   625.5   781.5  2704.9 10967.5  30031.4    30075  1714550570312  1714550580428
