avg_qps, std_qps, avg_p95, std_p95, avg_cpu
4976.1, 17.6, 485.7, 8.7, 6.4
10011.5, 45.5, 598.0, 17.0, 12.6
14972.8, 55.0, 694.6, 10.0, 18.1
20059.5, 91.8, 761.9, 14.4, 23.3
24948.7, 38.8, 792.3, 7.6, 29.5
29999.3, 32.2, 838.6, 10.9, 35.0
34942.5, 119.2, 845.1, 11.9, 40.4
40021.6, 87.6, 866.2, 15.7, 48.2
44999.5, 50.9, 886.2, 8.0, 52.9
49937.5, 22.6, 883.1, 7.3, 59.8
55013.2, 37.5, 890.9, 17.9, 64.7
59928.1, 110.3, 896.4, 8.1, 73.1
64969.3, 94.9, 879.5, 11.6, 79.4
69988.9, 70.5, 928.2, 57.6, 83.6
74357.2, 777.6, 1179.9, 220.7, 89.4
75126.0, 965.0, 1424.9, 33.5, 94.9
74628.7, 3142.9, 1452.5, 85.2, 93.0
76955.5, 948.2, 1406.3, 26.6, 92.9
73085.1, 1401.0, 1498.6, 32.6, 90.5
72341.5, 578.1, 1508.8, 22.2, 91.8
74875.8, 2333.6, 1451.1, 50.7, 91.8
73752.5, 3951.0, 1489.4, 96.6, 94.7
74025.0, 2371.9, 1476.4, 56.7, 92.8
77982.6, 3328.7, 1378.5, 81.1, 90.6
73851.3, 1220.3, 1480.4, 28.1, 96.4
