#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      378.1   462.9   173.5   235.7   259.5   351.1   382.1   398.4   410.6   426.0   445.4   477.7   659.1  7532.9 16920.2   5001.2     5000  1714936188011  1714936193442
read      400.9   323.6   160.7   221.5   237.5   387.8   444.0   470.6   491.1   512.9   541.4   583.5   676.3  4267.2 13971.5   9959.8    10000  1714936194945  1714936200311
read      416.9   290.7   148.8   223.2   240.4   392.9   467.5   506.9   535.1   566.9   605.4   661.6   777.5  2416.1 12683.4  14915.0    15000  1714936201815  1714936207134
read      446.8   256.7   160.7   220.3   238.6   420.5   499.9   546.0   581.5   622.0   671.6   743.5   907.7  2808.1  8459.4  20065.6    20000  1714936208637  1714936213957
read      464.7   280.3   148.8   216.4   235.1   439.1   521.0   571.2   609.2   653.4   709.3   790.9   967.3  2018.5 12039.7  24988.8    25000  1714936215461  1714936220790
read      464.0   260.2   148.8   212.1   230.6   435.0   527.1   579.4   619.5   666.9   725.4   808.0   995.3  1451.6  9492.0  30004.4    30000  1714936222294  1714936227601
read      480.8   244.6   160.7   218.2   235.8   453.9   548.8   605.1   645.5   695.2   759.0   849.4  1032.9  1686.3  7410.3  34902.8    35000  1714936229105  1714936234400
read      475.0   288.9   160.7   214.2   232.0   441.6   539.2   596.5   639.8   691.9   756.4   853.8  1059.5  1479.5 12056.8  39957.2    40000  1714936235904  1714936241209
read      479.5   291.7   148.8   214.9   233.0   445.2   546.7   604.2   647.3   700.5   767.4   859.7  1057.7  1525.5 12268.7  45053.5    45000  1714936242713  1714936248019
read      475.6   298.2   148.8   212.7   231.3   435.7   540.2   601.2   645.5   699.6   769.5   867.3  1065.2  1446.2 12364.2  50071.8    50000  1714936249523  1714936254833
read      474.5   302.9   148.8   215.2   234.0   430.9   532.0   592.7   638.9   695.1   769.7   872.8  1080.6  1515.6 11285.6  55041.2    55000  1714936256337  1714936261661
read      475.5   271.2   148.8   218.0   238.3   435.3   534.1   592.1   637.1   691.8   766.3   871.4  1064.2  1444.6 12061.1  59950.2    60000  1714936263164  1714936268471
read      488.5   292.2   160.7   225.2   249.0   450.0   553.2   611.5   653.4   705.2   773.5   871.0  1051.3  1370.1 11694.5  64987.0    65000  1714936269974  1714936275267
read      464.4   250.9   160.7   222.0   243.2   418.0   515.1   577.8   625.1   680.8   748.1   845.2  1015.7  1281.4  8572.7  70009.6    70000  1714936276771  1714936282070
read      796.0   439.1   160.7   395.5   494.8   685.3   771.5   972.8  1128.1  1220.1  1297.6  1378.2  1507.1  4921.9 15336.2  74399.6    75000  1714936283573  1714936288875
read      849.1   430.9   173.5   551.7   583.6   702.6   781.0  1134.8  1223.9  1286.2  1341.4  1407.8  1509.1  3971.9 14616.7  75641.2    80000  1714936290379  1714936295675
read      759.0   402.4   148.8   457.4   492.5   629.0   848.3  1007.7  1063.9  1116.7  1168.7  1240.7  1362.4  3777.6 16257.4  82511.5    85000  1714936297178  1714936302480
read      858.2   426.1   160.7   567.5   599.5   703.1   775.5  1175.0  1247.2  1303.7  1350.1  1410.1  1496.5  3688.5 17760.1  76392.8    90000  1714936303983  1714936309284
read      870.9   421.6   173.5   589.3   611.9   715.7   783.8  1196.3  1275.1  1324.2  1369.7  1438.7  1544.7  2592.9 15614.7  75403.6    95000  1714936310788  1714936316090
read      858.8   427.4   160.7   555.1   583.1   715.4   800.3  1135.3  1219.8  1285.7  1357.6  1446.0  1583.2  3401.9 15243.9  76436.6   100000  1714936317594  1714936322896
read      888.9   481.6   160.7   596.1   620.8   732.9   797.6  1191.7  1289.0  1346.3  1406.1  1471.2  1591.5  5136.4 17889.7  74121.0   105000  1714936324401  1714936329729
read      902.7   465.4   148.8   605.1   638.5   744.1   804.9  1202.0  1310.7  1371.4  1429.0  1485.7  1603.2  4942.7 17184.7  73036.4   110000  1714936331233  1714936336528
read      862.3   433.6   173.5   581.8   607.0   706.4   771.1  1187.9  1256.8  1311.0  1356.1  1419.3  1511.7  3457.3 16164.0  76291.0   115000  1714936338032  1714936343331
read      872.1   484.2   160.7   587.4   611.3   715.1   779.8  1192.8  1271.4  1322.0  1367.5  1435.5  1533.9  4012.9 20524.4  75581.6   120000  1714936344834  1714936350129
read      848.4   437.5   160.7   566.5   597.1   692.7   753.6  1158.2  1230.5  1285.1  1334.6  1384.1  1487.2  2539.9 18027.9  77564.3   125000  1714936351633  1714936356943
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.36%,58.50%,100.00%
