#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      375.3   330.3   173.5   234.0   256.1   358.9   392.1   409.1   422.7   436.3   458.0   490.3   599.3  5774.1 12561.3   4964.4     5000  1714935602544  1714935607972
read      410.8   322.8   160.7   223.4   240.6   399.5   458.4   487.6   506.5   530.8   559.3   601.8   693.2  4597.7 16753.6  10058.2    10000  1714935609476  1714935614853
read      455.9   437.6   160.7   221.1   240.6   434.8   512.5   552.5   581.3   613.3   650.9   708.6   844.8  4683.7 22598.6  14953.8    15000  1714935616357  1714935621680
read      468.7   290.0   160.7   219.5   240.2   446.6   530.0   578.2   612.8   652.1   701.1   775.4   921.3  2869.2 12121.9  19957.3    20000  1714935623185  1714935628515
read      459.4   308.3   148.8   214.7   234.3   431.7   515.5   567.0   605.6   650.2   705.4   781.7   932.3  1542.3  9886.7  24894.0    25000  1714935630019  1714935635342
read      480.2   311.4   160.7   215.0   234.0   454.3   542.7   596.6   637.7   686.6   743.9   823.4   984.9  2441.7 12594.5  30044.8    30000  1714935636846  1714935642185
read      483.9   306.8   160.7   215.0   233.8   459.1   549.5   606.6   648.9   700.6   762.1   846.3  1019.7  1497.8 13596.5  34777.2    35000  1714935643690  1714935649008
read      505.6   619.4   160.7   220.3   239.6   466.4   563.5   622.1   667.6   721.1   785.8   872.0  1091.0  3905.0 31634.2  39898.8    40000  1714935650513  1714935655824
read      502.4   320.6   148.8   222.1   243.2   467.3   571.6   631.6   678.1   734.0   802.5   897.3  1103.7  1938.9 12437.6  44996.2    45000  1714935657329  1714935662670
read      489.1   319.6   148.8   219.5   239.5   452.8   555.5   614.6   658.5   713.0   783.5   880.5  1074.3  1811.1 14273.6  49928.2    50000  1714935664175  1714935669524
read      476.2   310.3   148.8   215.0   235.0   435.9   536.1   593.4   637.2   691.5   764.1   866.4  1073.8  1843.8 12859.8  55054.0    55000  1714935671029  1714935676348
read      496.5   306.2   160.7   225.4   248.6   455.4   560.6   622.5   668.6   725.1   796.9   893.3  1076.3  1502.0 12485.7  60077.4    60000  1714935677853  1714935683181
read      479.7   315.0   160.7   221.3   243.1   438.8   537.5   594.8   638.8   694.1   765.5   863.8  1065.5  1637.7 11512.5  65073.4    65000  1714935684686  1714935689990
read      495.2   295.7   160.7   231.9   258.6   452.9   551.0   612.1   659.4   716.1   785.5   883.5  1077.2  1520.1 11778.4  70079.8    70000  1714935691496  1714935696854
read      839.5   668.7   160.7   434.6   529.0   712.7   791.5   999.6  1196.4  1285.2  1353.5  1440.8  1593.8  7574.0 30586.3  73261.2    75000  1714935698360  1714935703737
read      886.2   594.7   148.8   570.7   605.9   729.8   800.6  1161.8  1267.4  1330.8  1389.0  1465.7  1602.5  7625.7 25481.0  74004.7    80000  1714935705243  1714935710597
read      874.7   908.9   148.8   554.3   586.2   707.2   788.9  1156.9  1233.5  1293.1  1349.1  1424.3  1579.9  9662.5 37913.0  76132.2    85000  1714935712105  1714935717541
read      869.6   513.8   160.7   561.7   595.6   713.5   799.0  1177.3  1245.7  1304.4  1357.1  1432.6  1576.3  4177.1 20874.3  75845.0    90000  1714935719048  1714935724431
read      930.0   708.7   160.7   605.0   639.4   761.9   841.0  1227.6  1325.1  1389.6  1449.5  1524.5  1689.5  8123.3 30761.5  71853.2    95000  1714935725940  1714935731312
read      912.3   640.5   160.7   586.9   617.6   741.3   827.6  1218.1  1302.1  1358.8  1419.2  1483.3  1615.9  8514.1 25021.6  73005.4   100000  1714935732819  1714935738205
read      855.9   682.2   173.5   532.0   567.8   691.3   794.3  1140.5  1212.1  1264.4  1320.9  1379.8  1539.3  8616.2 29087.2  78137.0   105000  1714935739712  1714935745165
read      839.2   613.8   160.7   514.2   552.0   681.6   872.4  1118.4  1180.9  1231.1  1279.6  1353.3  1490.3  7298.1 25745.3  79306.4   110000  1714935746672  1714935752037
read      935.4   600.6   160.7   595.4   631.8   775.6   866.5  1214.1  1321.4  1393.5  1459.6  1549.5  1723.6  7707.6 24774.9  71099.6   115000  1714935753542  1714935758911
read      802.8   390.2   160.7   493.4   525.6   656.8   949.0  1084.8  1134.9  1180.4  1230.9  1282.5  1396.5  2771.0 13965.0  81800.8   120000  1714935760420  1714935765780
read      916.9   517.5   173.5   595.7   629.5   763.4   847.5  1193.2  1306.2  1378.9  1444.2  1520.1  1652.7  4906.1 20339.2  72126.0   125000  1714935767286  1714935772597
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 63.13%,2.00%,100.00%
