Random waveform, random seed
Total number of intervals = 320 (53837, 65966, 50164, 89339, 23259, 26614, 80990, 31757, 62274, 30772, 43646, 78245, 73552, 50072, 66720, 78457, 15020, 65232, 63177, 10101, 54873, 5190, 71675, 34765, 82482, 27386, 38419, 24162, 91906, 44762, 38437, 42763, 67756, 7753, 21234, 97431, 80797, 13211, 76516, 83795, 51635, 21554, 69212, 73965, 58466, 56105, 87059, 85940, 6618, 36779, 7135, 83124, 73981, 32543, 68598, 11829, 28023, 95968, 97794, 5120, 34080, 65278, 65581, 30588, 83211, 14783, 82605, 5402, 25125, 36910, 15797, 16558, 85569, 35016, 21648, 29884, 22428, 18475, 83853, 84008, 15221, 35396, 41645, 93406, 75497, 52863, 46462, 98026, 6626, 82182, 13763, 34350, 41329, 92780, 9402, 79962, 37302, 59495, 66224, 99963, 82536, 81628, 14189, 76315, 32450, 30468, 53599, 69799, 46099, 73151, 54930, 15925, 76631, 13254, 33300, 56685, 64340, 80660, 86427, 21718, 55980, 89882, 42492, 70487, 22135, 46840, 96864, 53918, 15483, 66506, 96022, 62799, 13061, 13127, 76987, 20453, 90061, 8124, 83723, 81711, 78316, 22056, 43460, 91671, 85054, 30139, 36739, 90802, 20006, 79929, 63039, 64305, 67556, 65494, 88525, 24780, 29848, 81601, 37060, 71590, 43313, 91672, 7385, 11473, 30857, 36443, 64482, 83105, 48335, 38737, 48146, 5153, 26861, 43088, 25767, 86233, 80574, 67791, 28862, 42575, 39297, 52018, 95982, 46494, 63572, 95159, 84537, 71462, 63483, 16612, 29236, 67667, 38133, 52724, 89271, 33127, 5029, 21767, 36277, 24513, 99463, 34248, 36175, 15348, 68124, 23132, 78263, 80394, 82767, 62604, 60257, 46257, 72716, 63158, 72570, 64803, 61262, 35474, 18974, 20598, 53930, 20791, 66875, 18504, 16237, 9428, 41045, 68913, 75380, 87816, 84448, 11826, 71231, 90851, 76670, 97575, 24720, 73270, 48954, 88062, 38850, 48812, 69474, 94336, 36813, 5768, 92659, 69270, 91531, 9997, 10471, 96662, 70836, 87456, 17168, 71024, 31205, 93769, 6850, 31764, 82033, 87255, 59822, 52648, 31518, 41758, 89751, 22529, 18976, 63247, 42149, 93534, 39600, 18122, 42836, 50483, 41168, 46353, 80113, 20901, 8795, 44250, 73292, 43912, 83642, 46037, 77948, 10406, 49325, 47971, 95474, 59382, 60629, 26567, 47050, 7114, 10743, 98447, 52703, 18786, 97624, 5577, 24952, 79933, 34932, 25006, 26366, 85542, 50629, 22590, 91711, 94658, 34868, 95773, 49527, 35659, 81789, 57774, 30550, 98775)
Average QPS expected = 52324
Timestamp start: 1715641823024
Timestamp end: 1715642783730

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      359.8   197.8   137.8   191.8   204.9   320.9   390.3   430.4   464.3   503.5   552.2   637.5   914.8  1799.9  5724.5  53882.0    53837
read      357.9   191.9   148.8   192.2   205.2   316.4   385.6   428.0   463.4   505.1   557.5   643.4   891.6  1994.6  6010.8  66076.7    65966
read      361.7   244.9   148.8   192.9   206.1   323.4   396.1   436.4   470.9   509.3   556.6   635.3   831.1  1734.3  8133.4  50224.0    50164
read      358.7   259.2   148.8   194.2   208.0   319.1   381.9   421.3   454.4   495.6   546.0   628.9   849.2  2523.9  5494.0  89578.3    89339
read      377.8   335.6   148.8   194.8   207.8   334.6   400.1   437.7   474.1   509.5   559.8   643.3  1048.8  4294.2 12756.1  23338.3    23259
read      357.0   241.1   148.8   193.0   205.4   326.6   396.0   433.6   468.7   503.3   544.0   609.2   739.9  1610.8  6457.9  26734.3    26614
read      393.4   577.2   148.8   192.8   206.3   321.6   389.0   433.7   471.6   517.2   580.4   692.3  1478.3  5683.1 30996.3  80981.0    80990
read      358.6   254.4   148.8   192.2   204.7   324.1   394.0   434.0   468.3   504.2   548.3   619.7   771.0  1812.1 10927.1  31782.0    31757
read      363.5   192.6   148.8   192.6   205.5   323.8   396.8   443.7   480.6   521.6   575.0   660.6   846.6  1530.4  4797.0  62074.0    62274
read      369.4   241.4   148.8   193.5   206.5   333.6   405.1   450.0   484.8   521.9   570.4   640.3   820.6  2282.6 10964.6  30883.0    30772
read      366.1   238.0   148.8   191.8   204.3   325.1   398.5   442.6   478.9   517.5   568.7   647.2   926.2  1767.6 10237.2  43541.0    43646
read      356.1   223.4   148.8   191.0   203.6   312.8   378.3   421.6   458.2   502.0   555.6   641.2   878.8  2132.2  7950.8  78541.0    78245
read      356.0   218.6   148.8   190.7   202.9   312.4   378.9   423.2   459.9   503.3   555.5   635.9   888.9  2391.8  6657.2  73679.3    73552
read      366.0   320.9   148.8   191.9   204.5   322.0   397.2   443.1   479.2   517.3   567.6   643.7   850.8  1967.7  9760.4  49819.3    50072
read      359.4   220.3   148.8   190.3   202.6   314.5   385.4   430.3   467.2   507.9   560.6   645.5   911.4  2322.5  7732.1  66752.0    66720
read      356.6   217.8   148.8   190.5   203.1   311.7   378.9   423.8   460.2   503.4   558.0   640.8   870.4  2429.0  5757.2  78532.0    78457
read      382.5   770.9   148.8   191.3   203.0   327.9   380.8   408.4   432.1   465.5   505.7   585.5   950.2 12290.4 31917.4  15088.0    15020
read      433.7   720.6   148.8   188.6   201.4   308.0   377.2   433.9   484.0   549.8   692.6  1126.1  1765.4  8731.8 31349.5  65343.0    65232
read      357.5   211.2   148.8   188.5   199.9   313.9   385.3   432.2   469.9   511.1   563.0   642.3   872.1  2014.7  6770.6  63356.0    63177
read      339.8   338.3   148.8   192.0   205.0   315.3   352.5   372.7   389.1   407.8   448.7   516.2   703.4  6170.9 12909.0  10071.0    10101
read      443.0   524.9   148.8   188.1   200.5   309.9   391.0   473.3   542.5   661.8   901.3  1196.8  1602.9  6115.8 12881.5  54786.0    54873
read      336.3   673.9   148.8   204.5   221.9   291.9   317.7   332.6   342.6   356.7   374.0   413.3  1129.4  8988.6 36449.5   5290.7     5190
read      473.7   606.5   148.8   192.1   207.3   312.5   387.8   461.6   529.1   679.3  1038.5  1425.5  1951.8  8126.3 24539.0  71127.7    71675
read      372.8   219.6   148.8   193.9   207.2   332.6   408.7   456.3   490.7   529.3   580.2   653.9   903.6  1978.6  7910.5  35056.7    34765
read      356.0   228.3   148.8   192.3   205.5   310.3   372.9   414.3   449.6   494.0   548.0   634.3  1027.0  2209.3  7731.0  82360.3    82482
read      364.2   241.6   148.8   194.7   207.9   327.5   397.0   436.4   473.0   508.9   553.3   624.7   849.1  2314.4 10735.2  27454.0    27386
read      391.0   309.8   148.8   196.5   210.0   332.8   414.0   466.7   503.7   548.4   616.3   740.3  1140.2  3919.2  8622.6  38384.0    38419
read      371.3   423.0   148.8   195.9   209.1   330.8   397.2   431.5   463.3   497.7   537.0   602.5   941.0  4051.3 16175.9  24116.0    24162
read      389.1   237.2   148.8   198.1   213.0   336.5   408.1   458.1   497.1   545.7   614.2   731.9  1163.8  2510.8  6702.7  91992.7    91906
read      364.4   218.4   148.8   191.4   203.8   324.4   398.4   441.9   476.2   513.4   563.0   641.7   908.2  1977.7  7265.5  44651.7    44762
read      373.5   304.1   148.8   192.5   205.1   326.6   402.7   447.8   484.3   522.9   573.9   654.9  1026.2  3128.2 12790.8  38558.3    38437
read      378.4   246.6   148.8   193.3   206.3   332.5   410.6   460.7   496.0   536.2   590.5   677.8  1078.8  2077.5  7573.8  42918.7    42763
read      371.6   250.0   148.8   191.9   204.7   320.6   393.9   442.0   481.5   525.2   580.7   673.4  1088.6  2795.2  8106.1  67764.3    67756
read      334.8   454.3   148.8   199.6   215.6   308.4   337.5   353.0   364.8   378.0   398.9   453.8   642.0  7196.8 14706.1   7738.7     7753
read      480.8   910.5   148.8   188.5   200.8   354.6   478.5   560.2   616.9   674.2   741.3   852.5  1892.9 12526.2 29882.6  21182.3    21234
read      692.6  1234.2   148.8   243.3   278.2   449.2   537.0   612.7   722.7   976.2  1420.6  1703.2  2967.7 17224.0 32411.2  97299.0    97431
