Timestamp start: 1715636041826
Timestamp end: 1715637062359

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      352.1   196.0   148.8   200.0   213.5   322.6   381.7   415.0   439.3   471.6   515.9   587.5   777.3  2025.8  5977.7  91542.1    91609
read      351.4   193.9   148.8   197.6   211.0   320.6   382.0   416.4   441.8   475.0   519.6   590.0   783.5  1893.3  7063.4  82776.6    82776
read      416.8   516.5   148.8   200.0   213.3   341.7   422.8   479.6   516.8   564.3   639.8   802.8  1222.3  6077.0 26531.0  25310.4    25321
read      412.5   595.2   148.8   196.7   210.5   354.6   424.2   477.3   512.7   553.2   602.3   678.0  1150.2  6184.1 31111.7  14657.3    14595
read      369.2   339.4   148.8   196.5   209.6   326.8   391.2   429.3   462.2   502.1   553.5   636.2  1038.9  2385.0 12417.4  56855.6    56822
read      362.9   226.3   148.8   198.0   210.9   324.5   388.7   426.9   457.9   496.0   545.0   629.0   921.8  2311.0  6509.3  75602.1    75600
read      365.6   213.1   148.8   197.3   210.4   327.7   392.5   431.2   463.3   501.7   552.4   635.9   943.7  2329.5  5815.3  68529.1    68327
read      482.1  1435.3   160.7   201.7   218.2   331.7   377.6   403.6   433.3   462.6   496.9   560.5  4723.2 28747.8 39760.4   7196.8     7175
read      403.3   469.5   148.8   202.9   216.6   338.5   402.8   442.2   471.3   509.2   572.7   692.3  1720.6  5342.2 17369.7  83621.1    83649
read      353.7   208.4   148.8   198.3   211.6   321.9   384.4   419.4   446.8   482.5   528.9   602.0   786.3  1831.5  6760.6  80935.7    80944
read      410.6   542.8   148.8   198.8   211.8   340.1   420.9   476.2   509.2   548.9   608.9   739.7  1182.0  6336.0 29605.4  23913.8    23906
read      374.8   304.9   148.8   198.4   211.9   329.7   394.1   432.9   464.6   502.8   554.5   644.8  1095.5  3223.5 10086.0  75353.6    75434
read      379.8   249.7   148.8   199.5   212.7   339.4   407.6   453.4   489.0   530.0   583.7   663.8   966.8  2560.2  8624.1  43808.0    43801
read      430.0   736.7   148.8   198.5   211.2   335.1   415.3   473.3   507.3   546.7   602.3   748.9  1661.0  8495.0 31925.5  27206.8    27320
read      389.9   436.5   148.8   198.0   211.3   332.7   399.4   441.9   475.7   517.6   578.1   683.3  1373.4  4941.4 13255.9  62354.3    62300
read      385.7   415.7   148.8   204.1   218.7   336.5   399.3   439.0   470.5   508.5   562.6   652.7  1109.5  4553.4 19034.9  93829.7    93890
read      385.5   299.9   148.8   199.8   212.7   341.9   411.7   458.5   493.8   536.9   593.2   682.0  1063.0  2251.9 13250.4  45875.4    45785
read      432.6   762.2   160.7   197.5   210.1   338.6   424.3   478.7   510.5   549.6   611.0   769.8  1392.5  9031.8 31105.0  22727.5    22718
read      408.2   621.1   148.8   199.6   212.7   340.0   411.0   459.2   495.0   539.3   599.7   702.3  1346.0  9220.0 30508.0  51127.7    51157
read      384.0   412.0   148.8   198.0   211.1   331.1   396.9   437.7   471.2   512.0   570.8   664.7  1238.1  4890.1 14990.6  64467.8    64410
read      453.9  1002.4   148.8   196.6   209.0   338.0   420.0   472.0   503.8   543.1   609.7   782.2  2105.4 12233.5 33635.8  20582.3    20626
read      418.5   777.2   148.8   198.7   211.8   335.6   404.1   451.5   488.3   532.5   592.6   696.8  1410.5 12334.9 31680.0  49632.1    49710
read      383.0   307.3   148.8   199.9   212.9   336.5   404.6   449.7   484.1   525.6   584.1   677.3  1119.7  2766.6 10183.7  59932.3    59940
read      385.5   394.6   148.8   198.5   211.2   336.5   404.3   451.9   488.5   530.0   583.6   662.3  1110.3  4801.2 12711.1  41428.0    41600
read      377.6   412.6   148.8   199.6   212.9   328.7   391.9   430.4   461.3   498.3   548.3   635.5  1163.2  4116.1 14774.0  82992.7    82826
read      486.8  1723.0   148.8   212.7   234.2   313.4   343.9   363.5   377.3   397.2   435.5   510.2  4662.3 31324.0 44069.4   5492.7     5507
read      384.1   404.8   148.8   199.9   213.6   332.9   397.4   436.6   467.8   505.4   559.6   653.5  1389.6  3891.4 16393.1  82166.9    82314
read      385.1   396.8   148.8   196.5   209.7   335.7   402.1   443.6   477.8   519.7   578.7   674.2  1167.0  3960.0 13697.1  58145.6    58197
read      353.9   656.2   160.7   207.6   224.3   315.8   343.8   359.8   370.3   384.5   401.2   441.3   759.9  8728.4 31854.7   7223.4     7167
read      383.2   342.4   148.8   196.3   209.6   338.4   406.1   451.4   486.3   528.8   585.7   673.0  1066.5  3428.4 12079.7  45973.6    46044
read      361.6   507.0   148.8   199.3   212.3   332.0   372.3   392.4   405.4   428.3   457.9   502.7   855.6  6384.2 30325.3  11301.6    11316
read      380.6   308.2   148.8   196.7   210.2   336.6   404.6   448.8   483.4   524.3   580.3   673.4  1091.3  2410.8 10352.8  54173.9    54089
read      366.6   238.7   148.8   194.6   207.6   328.5   395.0   439.1   476.8   514.2   562.1   632.0   932.6  1829.9  9164.9  35868.9    35827
read      371.7   259.7   148.8   195.9   209.5   329.0   394.8   435.3   468.2   507.0   562.3   654.7  1070.9  2316.4  9136.5  66122.7    66244
read      371.2   259.4   148.8   194.3   207.5   327.5   392.9   434.0   467.6   507.4   564.4   655.6  1112.2  2534.3  8563.2  63883.2    63743
read      353.7   382.8   148.8   193.1   205.0   325.4   383.9   414.0   437.4   464.5   495.2   542.8   830.9  4744.3 16778.3  17219.3    17073
read      377.9   372.9   148.8   195.3   209.1   325.7   389.1   428.1   459.2   497.4   550.1   651.9  1499.4  3522.8 13323.0  84841.4    84789
read      371.5   301.0   148.8   194.1   206.7   328.9   397.8   446.5   482.2   519.7   567.2   636.2   987.6  3184.8 10770.4  32215.1    32178
read      358.4   398.8   148.8   194.1   206.1   328.4   389.5   423.3   448.7   475.2   504.8   553.4   836.1  4466.7 19504.2  17612.5    17647
read      372.3   237.4   148.8   194.6   207.7   332.5   398.8   442.3   477.4   518.2   573.6   653.9  1016.2  2198.1  8512.5  44798.4    44764
read      376.7   320.4   148.8   193.8   207.0   326.2   391.7   432.4   464.9   504.4   562.1   665.0  1383.9  2840.1  9051.1  72404.3    72517
read      370.4   350.9   148.8   192.7   205.2   326.0   392.7   439.4   475.8   513.0   560.6   630.4  1005.7  3904.4 11798.9  33627.6    33546
read      336.9   258.6   148.8   194.2   206.4   323.2   365.3   386.2   399.8   420.5   448.1   491.0   695.4  3751.7  9864.5  12046.0    12115
read      373.6   287.3   148.8   194.2   207.7   325.3   390.5   430.7   462.2   500.3   554.2   653.8  1414.8  2724.5 11075.6  80913.7    80921
read      338.1   593.7   160.7   200.9   215.9   306.1   333.5   347.5   359.3   371.1   390.0   427.1   672.0  8221.9 29761.5   7317.0     7321
read      374.6   296.9   148.8   193.1   206.3   324.1   388.3   428.6   460.8   500.7   558.3   667.5  1439.0  2741.4  8372.3  76135.3    76088
read      340.2   537.3   148.8   196.7   210.7   313.2   345.3   362.6   373.5   389.0   405.8   453.1   692.2  7711.4 28394.0   8857.6     8873
read      356.5   255.5   148.8   192.7   204.7   322.6   391.4   432.4   461.6   490.8   525.0   582.1   899.6  2448.8  9547.2  21293.0    21328
read      370.1   270.2   148.8   193.2   206.1   324.9   389.0   428.7   461.3   501.9   559.4   655.5  1244.4  2180.8  9025.7  64281.8    64305
read      372.4   245.5   148.8   194.4   207.5   330.2   397.1   438.5   472.4   513.2   571.2   659.9  1093.8  2293.5  7159.7  56721.5    56642
read      378.4   377.9   148.8   195.4   209.5   327.0   389.3   428.2   458.6   495.9   547.6   643.2  1506.1  3948.9 12166.4  93100.3    92888
read      354.5   417.9   148.8   193.0   204.9   326.2   377.5   402.2   424.6   450.3   480.6   529.2   862.7  5502.1 13451.4  14963.3    14904
read      349.5   303.8   148.8   192.4   203.9   320.9   383.9   416.7   442.2   469.8   500.2   547.2   822.6  3589.4 13092.7  18486.3    18449
read      369.9   281.7   148.8   193.2   205.9   327.7   394.5   441.6   478.4   517.3   566.2   635.7  1035.9  2394.2 10524.6  34046.9    33884
read      376.8   381.5   148.8   194.6   208.6   325.7   388.4   426.8   457.1   494.0   544.8   639.3  1458.1  3969.1 12989.1  92588.8    92722
read      373.1   293.5   148.8   193.3   206.8   323.8   387.5   426.9   458.3   497.0   549.7   649.5  1478.5  2741.1  9924.0  82492.6    82579
read      379.6   350.3   148.8   196.5   210.1   337.7   402.1   445.9   482.7   522.0   573.9   652.1   986.7  4039.2 12803.1  35826.9    35839
read      365.8   205.0   148.8   197.0   211.0   329.7   397.1   436.0   467.3   504.2   553.9   638.4   901.6  1853.5  6339.3  70545.2    70613
read      370.5   239.7   148.8   195.1   208.6   336.7   402.5   442.3   474.1   512.2   566.2   647.9   896.4  1723.2  9613.1  51638.3    51549
