Random waveform, random seed
Total number of intervals = 102 (77053, 82970, 63094, 41743, 22613, 89818, 13671, 17747, 14890, 66655, 39205, 24638, 21214, 44734, 29246, 46643, 11973, 69557, 77313, 84697, 11987, 10079, 61270, 59992, 60431, 24810, 62614, 46241, 90748, 49663, 30061, 60601, 42340, 87149, 88964, 89474, 27220, 92667, 94667, 83364, 26131, 30979, 96543, 76635, 81252, 70713, 20387, 14165, 45451, 15697, 52522, 11907, 91299, 93293, 73526, 85414, 88912, 67285, 70397, 28982, 62086, 97402, 74968, 94414, 6223, 52105, 29188, 21498, 70302, 54326, 22161, 97026, 19508, 70274, 59426, 40889, 16000, 10585, 11047, 84272, 85849, 86958, 97650, 63006, 84510, 11455, 94985, 20140, 50886, 62651, 96124, 65765, 79500, 73496, 57116, 80770, 31456, 43615, 35687, 87904, 37570, 92107)
Average QPS expected = 55766
Timestamp start: 1715638203507
Timestamp end: 1715639224030

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      357.9   212.0   137.8   193.1   207.5   322.2   384.9   421.2   447.5   478.9   529.0   616.3   934.2  2382.3  7282.9  77084.5    77053
read      346.2   182.9   148.8   192.3   206.0   317.5   379.3   414.8   440.3   469.8   513.1   587.5   746.1  1678.2  7675.1  82927.1    82970
read      352.1   175.1   148.8   193.0   206.9   327.4   390.9   426.2   451.1   480.0   525.2   600.4   754.5  1131.0  6492.8  62896.8    63094
read      376.4   338.4   137.8   194.6   208.6   335.9   401.7   438.6   464.9   503.3   563.1   655.8  1025.3  3908.1 12370.2  41836.2    41743
read      396.8   455.4   148.8   192.8   206.5   337.1   414.8   456.7   495.4   550.8   628.6   749.1  1021.9  5069.0 20034.6  22607.5    22613
read      373.5   379.0   137.8   193.8   208.1   324.4   387.6   426.0   455.1   493.1   548.1   645.4  1427.6  3462.1  8004.1  89764.5    89818
read      419.1   793.3   148.8   191.3   205.2   344.4   408.6   448.8   487.3   539.5   590.0   662.1  1306.9  9863.5 35206.7  13684.8    13671
read      429.1   792.1   148.8   191.3   204.2   345.5   420.7   463.5   510.3   569.2   640.5   739.4  1164.4  9596.9 32058.2  17769.9    17747
read      444.1   957.0   148.8   191.6   205.2   348.1   416.0   457.4   502.2   555.4   613.6   690.6  1699.3 12610.6 34766.5  14829.4    14890
read      354.0   192.3   148.8   192.6   206.0   323.1   386.3   422.5   448.7   480.4   531.4   614.2   843.5  1717.3  4612.0  66626.7    66655
