Random waveform, random seed
Total number of intervals = 320 (6934, 27571, 99947, 90608, 73009, 35021, 13352, 68902, 86105, 13134, 6345, 97733, 29944, 81741, 25463, 12344, 25930, 77531, 32667, 65842, 52422, 36365, 85641, 8859, 79286, 80845, 61122, 50190, 46820, 38810, 28042, 35961, 42416, 25927, 31385, 80340, 29977, 76697, 74340, 81364, 38978, 12587, 33956, 69624, 59126, 45026, 98538, 64683, 42042, 18342, 37986, 53727, 28836, 90500, 75315, 27970, 74864, 62754, 30680, 9845, 19742, 9853, 68579, 70923, 33200, 86244, 79364, 62435, 80906, 40945, 13091, 42293, 50561, 13246, 88660, 27273, 33616, 41609, 53006, 65609, 22102, 62289, 93279, 25719, 43538, 81970, 64041, 82603, 70495, 72424, 85276, 55936, 96322, 58004, 81490, 81517, 54983, 38976, 63927, 76081, 76983, 37371, 68206, 62606, 93651, 10643, 48607, 53157, 38574, 54825, 48703, 51830, 72193, 13695, 39233, 23461, 96860, 85257, 22788, 94465, 8851, 44301, 71932, 89580, 96807, 43753, 82535, 68416, 81172, 42972, 55803, 55070, 83452, 75899, 70120, 33455, 96916, 68328, 28224, 68049, 98679, 60505, 41279, 18583, 11462, 30012, 82608, 60594, 17380, 20518, 29158, 90592, 97106, 42124, 64312, 76712, 52731, 16167, 60851, 58041, 39276, 73750, 52633, 69430, 21217, 11093, 11543, 56832, 49537, 96169, 48968, 45952, 78973, 41656, 80717, 5503, 6581, 78964, 85062, 64172, 10655, 45736, 61537, 88500, 88880, 98310, 27396, 17493, 19991, 12243, 40706, 70294, 19667, 71538, 26217, 55557, 5649, 94043, 43788, 93773, 61666, 78496, 10473, 41874, 34343, 9615, 61662, 5883, 37330, 50941, 48158, 11243, 50621, 73989, 78132, 76745, 25468, 6884, 35034, 34679, 55030, 80891, 76630, 91765, 55035, 72147, 85505, 95589, 90924, 65070, 96153, 75359, 8498, 85395, 51210, 96879, 13397, 64750, 33564, 25118, 23708, 69832, 42083, 44109, 77718, 50865, 95540, 39099, 51978, 85016, 56425, 50773, 61533, 21685, 77747, 55571, 50244, 17804, 30304, 62001, 91788, 46132, 73028, 82921, 95132, 19744, 35630, 83024, 6824, 79066, 83830, 67685, 56997, 69696, 26485, 6755, 66046, 62606, 99379, 45522, 66031, 95017, 80261, 41673, 89719, 49339, 5644, 96736, 86736, 78918, 73777, 22891, 10289, 76441, 59665, 73451, 56178, 85077, 31439, 33965, 32758, 76278, 68795, 86607, 8065, 35279, 70060, 73271, 80730, 30956, 91013, 36655, 6833, 41114, 84193, 97214, 36721, 72652, 29282, 83918)
Average QPS expected = 54539
Timestamp start: 1715643875310
Timestamp end: 1715644836014

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      340.3   338.7   160.7   215.4   232.7   323.4   348.0   363.0   372.4   386.6   402.4   434.4   588.9  4341.9 12899.5   6837.0     6934
read      368.5   221.2   148.8   202.8   216.0   332.7   410.8   455.5   489.4   522.5   555.0   608.9   778.7  1336.2  9791.1  27388.0    27571
read      355.0   158.5   148.8   207.3   222.0   329.5   387.0   420.6   446.6   479.9   523.6   586.4   717.9  1114.8  5793.7  99941.0    99947
read      368.8   171.8   148.8   207.4   222.2   337.2   400.6   438.8   469.4   505.3   549.5   625.0   801.2  1812.7  4023.0  90321.0    90608
read      360.9   172.6   148.8   202.1   215.6   330.8   399.2   438.4   470.1   506.6   548.4   615.9   741.6  1087.2  4569.3  73408.7    73009
read      401.2   440.8   148.8   204.1   217.8   344.1   419.0   471.1   509.6   546.1   592.6   668.7  1259.8  4822.8 19552.0  34955.3    35021
read      354.3   264.3   160.7   205.0   217.3   342.0   388.9   411.2   426.2   444.1   469.1   506.4   637.4  2881.1 10251.3  13340.7    13352
read      411.3   532.5   148.8   204.7   219.1   343.8   418.2   465.4   501.2   542.2   599.4   706.3  1470.7  5437.1 30577.5  68988.3    68902
read      367.4   192.2   148.8   205.3   219.5   333.6   399.0   439.1   470.4   506.0   549.4   624.3   802.6  1870.2  7805.7  86238.7    86105
read      372.8   285.3   160.7   206.7   220.4   349.4   399.8   426.9   448.2   476.1   512.7   593.0   822.1  4053.9 11672.5  13234.7    13134
read      396.7   555.6   160.7   210.7   231.0   339.3   378.2   400.1   419.4   444.0   480.5   537.0  1660.2  7918.2 18299.4   6432.7     6345
read      714.9  1457.1   160.7   263.9   303.8   461.6   564.8   642.2   714.0   817.0  1407.4  1679.9  2962.8 21745.2 36687.2  97411.7    97733
read      371.9   214.6   148.8   202.6   215.4   331.0   407.3   457.5   494.1   529.1   569.5   630.1   838.4  1876.3  7970.6  30103.0    29944
read      367.7   224.1   148.8   202.8   216.0   331.1   397.8   436.8   468.0   504.6   549.7   625.2   812.0  2392.7  7259.8  81619.3    81741
read      379.4   308.1   148.8   202.5   214.7   332.8   414.3   464.1   497.1   529.2   567.1   630.6   996.4  3781.9 10077.1  25402.7    25463
read      374.5   295.0   160.7   206.4   219.4   351.6   404.6   433.0   456.8   484.5   519.7   587.9   761.8  3530.8 15456.8  12332.0    12344
read      450.7   659.3   148.8   200.6   213.4   349.3   461.4   525.7   572.7   637.9   739.1   890.9  1319.3  7955.8 31561.5  25984.7    25930
read      441.1   517.7   148.8   206.1   221.5   345.3   412.5   461.0   501.6   552.3   639.9   941.9  1939.0  4955.5 19529.8  77575.0    77531
read      374.3   223.7   160.7   201.2   214.0   333.1   407.5   461.1   498.7   535.1   578.2   637.5   885.3  1661.4  8623.8  32557.0    32667
read      376.0   282.3   148.8   201.6   214.3   334.3   402.1   443.9   477.9   517.9   569.6   650.2  1020.3  2355.0  8345.9  65923.3    65842
read      379.0   194.2   160.7   202.8   215.4   343.0   413.0   458.4   494.1   534.2   587.0   663.0   871.4  2029.5  5853.0  52512.7    52422
read      369.5   223.8   148.8   198.5   211.4   329.3   399.6   449.6   489.5   529.6   574.3   634.9   889.2  1558.6  9504.6  36373.7    36365
read      377.2   388.6   148.8   203.7   217.1   332.5   397.2   436.2   467.2   504.0   553.0   634.2   947.2  4058.0 14560.5  85708.7    85641
read      344.8   317.2   160.7   205.7   219.1   325.3   359.5   377.3   391.6   407.0   432.8   487.8   717.5  3982.9 13605.7   8882.3     8859
read      641.0   763.3   160.7   228.6   255.8   391.6   484.6   613.6   876.1  1319.9  1530.7  1727.0  2690.3  8912.5 29692.5  79016.0    79286
read      360.5   193.5   148.8   201.5   214.2   327.2   392.6   431.6   463.1   499.7   544.0   617.4   776.5  1740.1  8181.1  80972.0    80845
read      372.4   224.6   148.8   202.7   215.6   337.9   405.8   447.5   481.6   521.5   570.6   641.4   797.8  1954.4  8337.7  61585.7    61122
read      369.2   184.6   148.8   202.7   215.7   338.4   403.8   444.3   480.3   521.4   567.8   634.5   765.1  1476.2  6334.8  50369.7    50190
read      379.8   271.5   148.8   202.9   216.2   342.5   411.1   454.8   491.9   531.3   576.4   642.5   817.0  3591.5  9491.7  46710.0    46820
read      379.7   311.8   148.8   201.4   214.4   336.6   407.6   454.1   494.3   533.0   574.3   634.9   905.7  3511.7 10195.1  38700.0    38810
read      406.2   370.9   148.8   206.1   220.1   351.7   437.2   496.5   530.1   566.6   614.7   692.6  1083.2  4765.2 12719.2  28037.0    28042
read      393.1   353.5   160.7   203.6   217.2   346.3   419.0   470.2   508.0   545.6   592.0   662.1  1046.1  4194.2  9991.7  35734.0    35961
read      387.6   437.1   148.8   201.8   214.5   339.8   408.9   457.9   497.9   538.8   588.0   658.4   941.2  3766.4 13499.7  42465.7    42416
read      390.0   327.6   160.7   202.5   215.5   336.1   428.3   486.2   521.0   553.4   591.0   652.2  1030.0  4828.5  9531.7  26164.0    25927
read      415.9   627.9   148.8   202.9   215.9   341.7   426.6   490.2   528.0   568.2   621.0   708.4  1148.6  8364.7 31249.6  31357.0    31385
read      392.8   294.9   148.8   206.7   221.2   341.2   410.4   454.7   488.6   529.0   583.8   678.0  1375.9  3391.7  8135.1  80157.7    80340
read      387.8   361.3   148.8   203.9   217.1   340.7   419.4   474.9   511.1   545.2   589.4   655.4   952.0  2339.4 13926.1  30148.0    29977
read      395.5   283.9   148.8   205.1   219.4   340.6   410.5   457.4   492.7   533.7   590.1   693.3  1531.2  2815.2  7984.7  76748.3    76697
read      391.5   381.3   148.8   205.5   219.7   340.7   412.8   457.8   491.5   530.5   581.9   667.8  1179.4  3945.6 14215.1  74437.3    74340
read      390.2   253.8   148.8   205.3   220.5   344.8   414.9   459.2   493.1   533.6   587.1   675.1  1166.3  2811.5  8064.8  81510.7    81364
read      395.9   468.5   148.8   200.9   215.0   344.4   417.8   470.5   508.3   549.2   600.7   672.7  1029.2  3744.9 30509.5  39025.7    38978
read      399.4   650.4   160.7   204.1   217.3   352.2   405.3   436.5   463.5   493.5   532.7   602.4   882.4 12244.5 28885.4  12520.0    12587
read      462.6   750.8   148.8   203.6   217.1   346.0   436.7   506.3   552.0   610.4   705.8   981.3  1694.8  8375.9 32492.4  33818.3    33956
read      397.8   384.6   160.7   204.2   217.7   342.2   416.0   463.2   497.8   538.0   592.9   681.8  1396.4  4006.1 15494.0  69548.3    69624
read      385.7   288.1   148.8   202.8   215.7   340.2   410.8   456.9   492.5   533.2   586.5   667.5  1013.2  3883.7  9537.6  59033.3    59126
read      393.2   406.9   148.8   203.2   216.3   347.0   417.5   467.3   505.2   547.6   603.6   676.4   983.9  3540.0 12665.3  45079.3    45026
read      401.1   349.2   160.7   212.3   228.8   354.8   420.0   461.3   493.4   532.3   585.9   678.0  1160.0  3482.7 14525.8  98546.7    98538
read      398.6   275.4   148.8   205.0   218.7   346.0   422.9   471.5   507.3   549.2   612.0   711.7  1349.1  2574.1  7883.1  64657.3    64683
read      391.9   318.9   148.8   202.7   215.1   340.6   411.7   466.5   507.6   550.2   605.6   677.8  1149.9  3945.8 12146.2  42029.7    42042
read      458.2  1108.9   160.7   203.5   215.7   355.2   436.5   483.1   509.1   540.8   590.4   708.2  1311.0 15007.8 37325.9  18401.7    18342
read      418.7   667.2   148.8   202.7   215.3   341.0   414.0   471.2   510.5   552.2   609.3   689.6  1280.3  8637.8 29929.7  37774.7    37986
read      388.9   347.4   160.7   203.1   215.8   342.8   412.1   458.1   494.8   536.8   591.5   671.6  1050.1  3170.1 11469.3  53605.0    53727
read      377.9   223.0   148.8   202.6   214.9   334.4   415.4   472.4   507.2   540.9   581.9   639.3   937.9  1794.1  7941.0  28811.7    28836
read      409.2   423.3   148.8   210.0   225.7   353.2   423.1   467.3   502.0   543.6   601.5   701.7  1423.4  5165.7 13639.2  90326.7    90500
read      388.5   327.1   148.8   203.9   217.3   336.9   404.9   449.3   483.1   523.0   576.5   668.9  1428.5  3042.8  8573.0  75562.0    75315
read      393.9   398.1   160.7   203.4   215.9   337.4   423.5   482.0   515.4   548.7   592.3   663.2  1063.9  4397.6 17052.4  27997.0    27970
read      421.0   470.0   148.8   206.9   221.5   350.7   426.4   473.6   507.6   548.8   611.1   722.6  1778.9  6081.8 18574.4  74780.0    74864
read      392.2   330.9   160.7   204.4   217.6   343.5   414.8   461.3   496.6   538.9   595.7   681.9  1215.9  3183.4 10809.2  62876.7    62754
read      392.4   281.2   148.8   204.0   217.0   345.4   425.8   485.0   520.5   558.1   605.4   671.4   955.2  3729.4  8682.8  30489.7    30680
read      401.5   705.7   160.7   208.7   223.6   351.5   396.3   425.1   449.7   480.4   517.4   584.8  1048.3  9133.5 30215.2   9861.3     9845
read      519.9  1314.6   160.7   203.1   215.6   373.5   479.7   533.2   579.0   646.5   732.8   864.4  2144.8 20452.7 37531.8  19570.0    19742
read      446.2   932.4   160.7   206.0   220.9   353.9   412.5   460.0   492.2   527.3   569.7   635.4  2425.7  9332.3 32047.0   9903.7     9853
read      512.2   593.7   148.8   208.5   224.9   366.7   452.4   514.4   571.5   662.3  1009.6  1562.5  2024.3  6596.8 18281.7  68250.0    68579
read      401.7   366.9   148.8   207.2   221.6   345.6   420.8   468.4   502.3   542.5   599.3   691.3  1408.8  3479.6 14019.2  70819.7    70923
read      393.2   206.2   148.8   207.1   221.7   348.5   431.6   490.6   526.6   565.7   613.3   679.3   957.3  1739.3  6853.7  33206.0    33200
read      405.9   372.4   160.7   210.1   225.6   352.0   422.4   466.0   499.0   538.3   593.3   689.9  1550.8  4010.6 14084.5  86358.3    86244
